country,activeDuty,paramilitary,reserves,total,population2022
Trinidad and Tobago,4050,0,0,4050,1406.585
Jamaica,3950,0,980,4930,2985.094
Papua New Guinea,3600,0,0,3600,9292.169
Fiji,3500,0,6000,9500,909.466
Guyana,3400,0,670,4070,794.045
Montenegro,2350,10100,0,12450,627.95
Liberia,2010,0,0,2010,5305.117
Lesotho,2000,0,0,2000,2175.699
Malta,1950,0,180,2130,444.033
Suriname,1840,0,0,1840,596.831
Belize,1500,150,700,2350,412.19
Equatorial Guinea,1450,0,0,1450,1496.662
Bahamas,1300,0,0,1300,400.516
Cape Verde,1200,0,0,1200,567.678
Luxembourg,900,600,0,1500,642.371
Gambia,800,0,0,800,2558.482
Barbados,610,0,430,1040,288.023
Seychelles,420,0,0,420,99.426
Antigua and Barbuda,180,0,80,260,99.509
Haiti,150,50,0,200,11680.283
Iceland,0,250,0,250,345.393
Mauritius,0,2550,0,2550,1274.727
Costa Rica,0,9800,0,9800,5182.354
Panama,0,26000,0,26000,4446.964
